Unnamed: 0, where, what, value,ass2,ass8,ass16,ass4bank4,lat100,ln_sim_ass_2,ln_sim_ass_4
46, GPU[1].SA[2].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.558255224523,3.560343522868
47, GPU[1].SA[2].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
48, GPU[1].SA[2].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
49, GPU[1].SA[2].CU[3], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815024.0,2815299.0
50, GPU[1].SA[2].CU[3], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.560091850016,3.559608766245
51, GPU[1].SA[3].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
52, GPU[1].SA[3].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
53, GPU[1].SA[3].CU[0], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2813654.0,2814837.0
54, GPU[1].SA[3].CU[0], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.56182529906,3.560193005847
55, GPU[1].SA[3].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3921568.0
56, GPU[1].SA[3].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.555447973872
57, GPU[1].SA[3].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2814215.0,2817000.0
58, GPU[1].SA[3].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.561115266602,3.557459353923
59, GPU[1].SA[3].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3921568.0,3920000.0
60, GPU[1].SA[3].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.555545128887,2.556470153061
61, GPU[1].SA[3].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815888.0,2812793.0
62, GPU[1].SA[3].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.558999505662,3.562780126373
63, GPU[1].SA[3].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3921568.0,3920000.0
64, GPU[1].SA[3].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.555545128887,2.556470153061
65, GPU[1].SA[3].CU[3], simd_inst_count, 969.000000000000, 969.000000000000, 969.000000000000, 969.000000000000, 969.000000000000, 970.000000000000,2815246.0,2812508.0
66, GPU[1].SA[3].CU[3], simd_CPI, 7.953560371517, 7.953560371517, 7.953560371517, 7.953560371517, 7.953560371517, 8.250515463918,3.559811114197,3.563141153732
67, GPU[1].SA[4].CU[0], cu_inst_count, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000,3921568.0,3920000.0
68, GPU[1].SA[4].CU[0], cu_CPI, +Inf, +Inf, +Inf, +Inf, +Inf, +Inf,2.555545128887,2.556470153061
69, GPU[1].SA[4].CU[0], simd_inst_count, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000,2813736.0,2814119.0
70, GPU[1].SA[4].CU[0], simd_CPI, +Inf, +Inf, +Inf, +Inf, +Inf, +Inf,3.561721497681,3.561101360675
71, GPU[1].SA[4].CU[1], cu_inst_count, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000,3918432.0,3920000.0
72, GPU[1].SA[4].CU[1], cu_CPI, +Inf, +Inf, +Inf, +Inf, +Inf, +Inf,2.557590383092,2.556470153061
